Borough,Average House Price,Latitude,Longitude,Zip
Westhampton,744890,38.904167,-77.184722,22043
Glen Allen,354487,37.66,-77.485556,23058
Wyndham,426482,37.6975,-77.610833,23059
Innsbrook,314004,37.6475,-77.586389,23060
Short Pump,314004,37.661944,-77.626667,23060
Highland Springs,164306,37.545556,-77.328611,23075
Laurel,164306,37.633889,-77.506667,23075
Brandermill,294102,37.440778,-77.649417,23112
Woodlake,294102,37.412778,-77.685,23112
Midlothian,456644,37.5215,-77.664778,23113
"Salisbury, Chesterfield County",456644,37.531258,-77.643325,23113
Skinquarter,389037,37.399,-77.783,23120
Moseley,389037,37.475278,-77.778889,23120
Fair Oaks,211135,37.530833,-77.316111,23150
Sandston,211135,37.523611,-77.315833,23150
Block 0-100 East Franklin Street Historic District,248772,37.543056,-77.443611,23219
Central Office District,248772,37.536323,-77.437531,23219
Downtown Richmond,248772,37.545556,-77.438889,23219
Main Street Banking Historic District,248772,37.538056,-77.436389,23219
Monroe Ward,248772,37.546389,-77.444444,23219
Shockoe Slip,248772,37.534722,-77.433333,23219
Upper Shockoe Valley,248772,37.543527,-77.425584,23219
Arts District,293591,37.54591,-77.44267,23220
Carver Industrial Historic District,293591,37.554167,-77.453056,23220
Fan district,293591,37.5525,-77.465556,23220
Gilpin,293591,37.552573,-77.448378,23220
Jackson Ward,293591,37.548333,-77.440833,23220
Maymont,293591,37.535278,-77.477778,23220
Oregon Hill,293591,37.53968,-77.45138,23220
Randolph,293591,37.542441,-77.460146,23220
West Broad Street Commercial Historic District,293591,37.553611,-77.455833,23220
2900 Block Grove Avenue Historic District,438898,37.555556,-77.476667,23221
Arthur Ashe Boulevard,438898,37.556389,-77.474722,23221
Byrd Park,438898,37.540833,-77.483889,23221
Carillon,438898,37.539352,-77.484209,23221
Carytown,438898,37.552028,-77.480222,23221
Museum District,438898,37.559722,-77.479444,23221
Stadium neighborhood,438898,37.550838,-77.486744,23221
Windsor Farms,438898,37.555556,-77.498333,23221
Barton Heights,192534,37.560278,-77.4325,23222
Battery Court Historic District,192534,37.567222,-77.439722,23222
Chamberlayne Industrial Center,192534,37.597402,-77.440739,23222
Chestnut Hill–Plateau Historic District,192534,37.563333,-77.421389,23222
Forest Lawn Cemetery ,192534,37.5945,-77.4354,23222
Green Park,192534,37.568392,-77.426555,23222
Highland Park,192534,37.581314,-77.41543,23222
Church Hill,193927,37.529167,-77.418056,23223
Creighton Court,193927,37.545284,-77.398242,23223
East End,193927,37.535556,-77.408889,23223
East Highland Park,193927,37.570833,-77.396667,23223
Fairmount,193927,37.545278,-77.413056,23223
Libby Hill,193927,37.5275,-77.416944,23223
Mosby Court,193927,37.543625,-77.420998,23223
Oakwood–Chimborazo Historic District,193927,37.531389,-77.400833,23223
Shockoe Bottom,193927,37.532222,-77.424722,23223
Tobacco Row,193927,37.529583,-77.424278,23223
Union Hill,193927,37.537222,-77.418056,23223
Shockoe Valley,193927,37.532222,-77.424722,23223
Manchester,154828,37.521111,-77.444167,23224
Old Town Manchester,154828,37.522559,-77.430611,23224
South Richmond,154828,37.5225,-77.441389,23224
South Garden,154828,37.483611,-77.491389,23224
Forest Hill,250670,37.524028,-77.48,23225
Jahnke,250670,37.523069,-77.523866,23225
Woodland Heights,250670,37.518889,-77.462222,23225
Granite,250670,37.533056,-77.507222,23225
Springhill Historic District,250670,37.524167,-77.454722,23225
"Manchester, Chesterfield County",250670,37.488889,-77.543889,23225
Lockgreen,379544,37.558578,-77.513802,23226
Brookland Park Historic District,271564,37.582778,-77.4475,23227
Chamberlayne,271564,37.630833,-77.437778,23227
Ginter Park,271564,37.580556,-77.447222,23227
Hermitage Road Historic District,271564,37.58415,-77.462547,23227
Laburnum Park Historic District,271564,37.581111,-77.456389,23227
Pine Camp,271564,37.60212,-77.44762,23227
Sherwood Park,271564,37.575,-77.455,23227
Lakeside,218830,37.610833,-77.475833,23228
Tuckahoe,325753,37.595833,-77.575833,23229
West End,325753,37.621111,-77.558333,23229
Carver,262383,37.552972,-77.449667,23230
Dumbarton,262383,37.609167,-77.506111,23230
Gambles Hill,262383,37.536944,-77.445278,23230
Sauer's Gardens,262383,37.515278,-77.413889,23230
Scott's Addition Historic District,262383,37.568333,-77.4725,23230
Texas Beach,262383,37.53,-77.468611,23230
Fulton Hill,219209,37.4404,-77.3095,23231
Malvern Gardens,219209,37.567083,-77.486667,23231
Montrose,219209,37.520556,-77.378333,23231
Rocketts Landing,219209,37.515278,-77.413889,23231
Shed Town,219209,37.515278,-77.413889,23231
Varina,219209,37.381944,-77.336111,23231
Bensley,198938,37.448889,-77.445556,23234
Meadowbrook,198938,37.430556,-77.474444,23234
Bon Air,272807,37.52,-77.568889,23235
Huguenot Farms,272807,37.554167,-77.584444,23235
Rockwood,261149,37.462778,-77.572778,23236
Bellwood,216697,37.405556,-77.434167,23237
Biotech and MCV District,261415,37.543623,-77.430829,23298
Court End,261415,37.543889,-77.431389,23298
Ettrick,121834,37.242778,-77.425556,23803
Matoaca,121834,37.228056,-77.470556,23803
Chester,261062,37.353333,-77.435833,23831
Centralia,261062,37.380982,-77.459985,23831
Colonial Heights,187527,37.243889,-77.410556,23834
Enon,289295,37.3504,-77.3254,23836
Bermuda Hundred,289295,37.339389,-77.278083,23836
Winterpock,357963,37.346111,-77.719444,23838
